Titles,Fields,Salaries,Locations,Cities,Experiences,Enrollment_statuses,Educations,Dates
Тілдік пәндер саласындағы ЖОО оқытушысы,Білім беру және тәрбиелеу,от 95 000 до 150 000 тг.,"""Каспий өңірі ""Болашақ"" колледжі"" Жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Ақтау қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,26.10.2024 жарияланды
Ресепшн қызметкері,Тұру және тамақтану,от 100 000 до 180 000 тг.,The Smart Space,"Шымкент қ., Тұран ауданы",Еңбек өтілі жоқ,ауысымды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),25.10.2024 жарияланды
Сәулетші-дизайнер,Құрылыс және сәулет,100 000 тг. бастап,"""QAZ07"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,25.10.2024 жарияланды
SMM-менеджер,Маркетинг және БАҚ,100 000 тг. бастап,"""QAZ07"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,25.10.2024 жарияланды
Әкімшілік хатшысы,HR және хатшылық,100 000 тг. бастап,"""QAZ07"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық емес жұмыс күні,техникалық және кәсіби,25.10.2024 жарияланды
Авиациядағы инженер,Көлік және логистика,400 000 тг. бастап,"""Қазақстанның авиациялық әкімшілігі"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,502 900 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Қарағанды филиалы","Қарағанды облысы, Балқаш қ.",Еңбек өтілі жоқ,ауысымды,жоғары,24.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,502 900 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Қарағанды филиалы","Ұлытау облысы, Жезқазған қ.",Еңбек өтілі жоқ,ауысымды,жоғары,24.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,569 800 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Қарағанды филиалы","Ұлытау облысы, Жезқазған қ.",6 жыл жұмыс өтілі,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,502 900 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Қарағанды филиалы","Қарағанды облысы, Қарағанды қ.",Еңбек өтілі жоқ,ауысымды,жоғары,24.10.2024 жарияланды
Қаржылық бақылау жөніндегі құрылымдық бөлімнің жетекшісі,Қаржы және бухгалтерлік есеп,900 000 тг. бастап,"""Нұрсұлтан Назарбаев халықаралық әуежайы"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",7 жыл жұмыс өтілі,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Медициналық массажист,Медицина және фармацевтика,150 000 тг. бастап,"""BATYS SABI"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық жұмыс күні,ортадан кейін,24.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,569 800 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Қарағанды филиалы","Қарағанды облысы, Бұқар жырау ауданы, Үштөбе а.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,24.10.2024 жарияланды
Бала бақшасындағы күтуші,Білім беру және тәрбиелеу,150 000 тг. бастап,"""BATYS SABI"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық жұмыс күні,ортадан кейін,24.10.2024 жарияланды
География пәнінің мұғалімі,Білім беру және тәрбиелеу,от 100 000 до 120 000 тг.,«Батыс Қазақстан облысы әкімдігі білім басқармасының Тасқала ауданы білім беру бөлімінің «Айнабұлақ негізгі орта мектебі» коммуналдық мемлекеттік мекемесі,"Батыс Қазақстан облысы, Тасқала ауданы, Айнабұлақ а.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Техникалық құжаттаманы әзірлеу жөніндегі маман (техникалық жазушы),IT және телекоммуникациялар,250 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Жаңаөзен қ.",3 жыл жұмыс өтілі,вахталық әдіс,техникалық және кәсіби,24.10.2024 жарияланды
Швейцар,Біліктілігі жоқ мамандықтар,120 000 тг. бастап,"""Султан и Ким"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Алмалы ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,ортадан кейін,24.10.2024 жарияланды
Қазандық оператор,Өндіріс,от 90 000 до 100 000 тг.,"""Ақтөбе облысының білім басқармасы Ойыл ауданының білім бөлімі» мемлекеттік мекемесінің «Көсембай негізгі мектебі» коммуналдық мемлекеттік мекемесі","Ақтөбе облысы, Ойыл ауданы, Көсембай а.",Еңбек өтілі жоқ,толық жұмыс күні,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),24.10.2024 жарияланды
Медицина тіркеушісі,Медицина және фармацевтика,от 200 000 до 230 000 тг.,"""Prospekt Medical Caspian"" (""Проспект Медикал Каспиан"") жауапкершілігі шектеулі серіктестігі","Атырау облысы, Атырау қ.",1 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,24.10.2024 жарияланды
Логопед-дефектолог,Білім беру және тәрбиелеу,150 000 тг. бастап,"""BATYS SABI"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық жұмыс күні,ортадан кейін,24.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 200 000 до 400 000 тг.,"""LETS Nursaya"" жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Ақтау қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Бас инженер (құрылыста),Құрылыс және сәулет,от 248 000 до 315 000 тг.,"""ҚазАвтоЖол"" Ұлттық компаниясы"" акционерлік қоғамының Жамбыл облыстық филиалы","Жамбыл облысы, Тараз қ.",3 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,24.10.2024 жарияланды
Аналитик-зерттеуші,Ғылым және кеңес беру,200 000 тг. бастап,"""Ахмет Байтұрсынұлы атындағы ""Талдау"" ұлттық зерттеулер және білімді бағалау орталығы"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Фельдшер,Медицина және фармацевтика,от 180 000 до 200 000 тг.,"""Яссин"" Медициналық орталығы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Жамбыл ауданы, Айшабибі а.",Еңбек өтілі жоқ,вахталық әдіс,техникалық және кәсіби,24.10.2024 жарияланды
Бағдарламалар және жобалар координаторы ( менеджері),Ғылым және кеңес беру,500 000 тг. бастап,"Қазақстан Республикасы Цифрлық даму, инновациялар және аэроғарыш өнеркәсібі министрлігінің ""Цифрлық үкіметті қолдау орталығы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"""ТКШ БАҚ"" жауапкершілігі шектеулі серіктестігі","Алматы облысы, Қонаев қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Ақпараттық ресурстарды құру және басқару жөніндегі маман (контент-менеджер),IT және телекоммуникациялар,900 000 тг. бастап,"""Қазақстандағы ""Интерньюс Нетуорк"" өкілдігі","Алматы  қ., Бостандық ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Кадрлар бойынша маман,HR және хатшылық,200 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі",Алматы  қ.,3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Өндіріс инженері,Өндіріс,300 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Бөрлі ауданы, Ақсай қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Клиенттермен жұмыс жасау жөніндегі менеджер,Жеке қызметтер және сервис,300 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Атырау облысы, Атырау қ.",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Аудармашы (жазбаша),Ғылым және кеңес беру,от 509 000 до 581 000 тг.,"""Назарбаев Зияткерлік мектептері"" дербес білім беру ұйымының ""Білім беру бағдарламалары орталығы"" филиалы","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,85 000 тг. бастап,Шығыс Қазақстан облысы білім басқармасы Өскемен қаласы бойынша білім бөлімінің «№10 мектеп-гимназиясы» коммуналдық мемлекеттік мекемесі,"Шығыс Қазақстан облысы, Өскемен қ.",Еңбек өтілі жоқ,толық жұмыс күні,ортадан кейін,23.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 100 000 до 150 000 тг.,ИП Куанышбаев Ерсұлтан Ерденұлы,"Алматы  қ., Наурызбай ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 250 000 до 300 000 тг.,"""InterLingua"" Лицейі"" мекемесі","Алматы  қ., Алмалы ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Автоматтандыру жөніндегі инженер,IT және телекоммуникациялар,300 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Атырау облысы, Атырау қ.",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Техникалық бақылау бақылаушысы,Өндіріс,220 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Жаңаөзен қ.",3 жыл жұмыс өтілі,вахталық әдіс,жоғары,23.10.2024 жарияланды
Ақпараттық жүйелер әкімшісі,IT және телекоммуникациялар,от 100 000 до 150 000 тг.,"""Алматы облысы білім басқармасының Еңбекшіқазақ ауданы бойынша білім бөлімі"" мемлекеттік мекемесінің ""Ш.Уалиханов атындағы орта мектеп"" коммуналдық мемлекеттік мекемесі","Алматы облысы, Еңбекшіқазақ ауданы, Қайназар а.",1 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,23.10.2024 жарияланды
Атқарушы директорының орынбасары,Басшылар,от 200 000 до 900 000 тг.,"""Ахсан"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Байқоңыр"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,23.10.2024 жарияланды
Бағдарламалық қамсыздандыруды әзірлеуші,IT және телекоммуникациялар,от 200 000 до 900 000 тг.,"""Ахсан"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Байқоңыр"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Кадр жөніндегі инспектор,HR және хатшылық,200 000 тг. бастап,"""STECOL CORPORATION"" Жауапкершілігі шектеулі компанияның Қазақстан Республикасындағы Филиалы","Ұлытау облысы, Сәтбаев қ.",1 жыл жұмыс өтілі,толық жұмыс күні,ортадан кейін,22.10.2024 жарияланды
Бағдарламалық қамсыздандыруды әзірлеуші,IT және телекоммуникациялар,от 500 000 до 700 000 тг.,"""АтырауТехИнвест"" жауапкершілігі шектеулі серіктестігі","Атырау облысы, Атырау қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Орыс тілі мен әдебиеті мұғалімі,Білім беру және тәрбиелеу,85 000 тг. бастап,"Павлодар облысының білім беру басқармасы, Екібастұз қаласы білім беру бөлімінің ""№ 28 Абай атындағы жалпы орта білім беру мектебі"" коммуналдық мемлекеттік мекемесі","Павлодар облысы, Екібастұз қ., Солнечный к.",3 жыл жұмыс өтілі,толық емес жұмыс күні,жоғары,22.10.2024 жарияланды
Директордың тәрбие ісі жөніндегі орынбасары,Білім беру және тәрбиелеу,85 000 тг. бастап,"Павлодар облысының білім беру басқармасы, Екібастұз қаласы білім беру бөлімінің ""№ 28 Абай атындағы жалпы орта білім беру мектебі"" коммуналдық мемлекеттік мекемесі","Павлодар облысы, Екібастұз қ., Солнечный к.",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Биология пәнінің мұғалімі,Білім беру және тәрбиелеу,85 000 тг. бастап,"Павлодар облысының білім беру басқармасы, Екібастұз қаласы білім беру бөлімінің ""№ 28 Абай атындағы жалпы орта білім беру мектебі"" коммуналдық мемлекеттік мекемесі","Павлодар облысы, Екібастұз қ., Солнечный к.",5 жыл жұмыс өтілі,толық емес жұмыс күні,жоғары,22.10.2024 жарияланды
Мұгалімнің көмекшісі,Білім беру және тәрбиелеу,от 85 000 до 120 000 тг.,"Павлодар облысының білім беру басқармасы, Май ауданы білім беру бөлімінің ""Ерсін Мұқашев атындағы жалпы орта білім беру мектебі"" коммуналдық мемлекеттік мекемесі","Павлодар облысы, Май ауданы, Көктөбе а.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Кадр жөніндегі инспектор,HR және хатшылық,100 000 тг. бастап,"""CIS KASHAGAN"" (""СиАйЭс КАШАГАН"")"" жауапкершілігі шектеулі серіктестігі","Атырау облысы, Атырау қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Кітапханашы,Мәдениет және спорт,от 319 000 до 368 000 тг.,"""Назарбаев Зияткерлік мектептері"" дербес білім беру ұйымының ""Астана қаласындағы Назарбаев Зияткерлік мектебі"" филиалы","Астана қ., ""Нұра"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Директордың тәрбие ісі жөніндегі орынбасары,Білім беру және тәрбиелеу,от 250 000 до 300 000 тг.,"Астана қаласы әкімдігінің ""№ 55 орта мектеп"" шаруашылық жүргізу құқығындағы мемлекеттік коммуналдық кәсіпорны","Астана қ., ""Байқоңыр"" ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,22.10.2024 жарияланды
Әдіскер,Білім беру және тәрбиелеу,от 115 730 до 133 512 тг.,"""Атырау облысы Мәдениет және тілдерді дамыту басқармасының ""Тіл"" оқу-әдістемелік орталығы"" коммуналдық мемлекеттік мекемесі","Атырау облысы, Атырау қ.",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Кадрлар жөніндегі директор (адами ресурстары),Басшылар,600 000 тг. бастап,«KAZAKH INVEST» ұлттық компаниясы» акционерлік қоғамы,"Астана қ., ""Есіл"" ауданы",7 жыл жұмыс өтілі,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Типограф-баспашы,Өндіріс,от 100 000 до 300 000 тг.,ИП Каспакпаев Алибек Кизашевич,"Абай облысы, Семей қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),22.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 250 000 до 300 000 тг.,"""""KEMEL"" қалалық физика-математика мектебі"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Бостандық ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,100 000 тг. бастап,EduPro,"Алматы  қ., Әуезов ауданы",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Орыс тілі мен әдебиеті мұғалімі,Білім беру және тәрбиелеу,от 100 000 до 150 000 тг.,"Абай облысы білім басқармасының Семей қаласы білім бөлімінің ""Абыралы жалпы негізгі білім беретін мектебі"" коммуналдық мемлекеттік мекемесі","Абай облысы, Жаңасемей ауданы, Абралы а.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Ақпаратты қорғау жөніндегі инженерлер,IT және телекоммуникациялар,от 300 000 до 350 000 тг.,"Қазақстан Республикасы Денсаулық сақтау министрлігінің ""Академик Н.Ж. Батпенов атындағы Ұлттық ғылыми травматология және ортопедия орталығы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Алматы"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 100 000 до 120 000 тг.,"""Ақтөбе облысының білім басқармасы Темір ауданының білім бөлімі"" мемлекеттік мекемесінің ""С.Байшев атындағы жалпы орта білім беретін мектебі"" коммуналдық мемлекеттік мекемесі","Ақтөбе облысы, Темір ауданы, Темір қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,22.10.2024 жарияланды
Дәрігер-терапевт,Медицина және фармацевтика,362 400 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Фнкционалдық диагностика дәрігері,Медицина және фармацевтика,362 400 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Алматы  қ., Түркісіб ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Өндірістік операциялар жөніндегі инженер,"Мұнай, газ, ресурстарды өндіру",200 000 тг. бастап,"""Куду Индастриз Казахстан"" жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Мұнайлы ауданы, Қызылтөбе а.",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
PR-менеджер,Маркетинг және БАҚ,330 000 тг. бастап,"""Городской центр развития инвестиций ""AstanaInvest"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Сарыарқа"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Бұрғылау жөніндегі техник,"Мұнай, газ, ресурстарды өндіру",200 000 тг. бастап,"""Шлюмберже Орталық Азия"" жауапкершілігі шектеулі серіктестігі","Атырау облысы, Жылыой ауданы, Жаңа Қаратон к.",Еңбек өтілі жоқ,вахталық әдіс,техникалық және кәсіби,21.10.2024 жарияланды
Технологиялық қондырғылардың операторы,"Мұнай, газ, ресурстарды өндіру",200 000 тг. бастап,"""Қазақстан Республикасындағы ""Шлюмберже Лоджелко Инк."" компаниясы"" филиалы","Батыс Қазақстан облысы, Бөрлі ауданы, Ақсай қ.",7 жыл жұмыс өтілі,вахталық әдіс,жоғары,21.10.2024 жарияланды
Оқу бөлімі директорының (бастығы) орынбасары,Білім беру және тәрбиелеу,от 250 000 до 300 000 тг.,"""Жамбыл облысы әкімдігінің білім басқармасы Жуалы ауданының білім бөлімінің № 4 Құрманбек Сағындықов атындағы орта мектебі"" коммуналдық мемлекеттік мекемесі","Жамбыл облысы, Жуалы ауданы, Шақпақата а.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Ауызша сөйлеу аудармашылары,Ғылым және кеңес беру,250 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Ақтау қ.",4 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Механик (жалпы бейін),Өндіріс,300 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Бөрлі ауданы, Ақсай қ.",4 жыл жұмыс өтілі,вахталық әдіс,жоғары,21.10.2024 жарияланды
Кадрлар бөлімнің бастығы (адами ресурстарын басқару),HR және хатшылық,180 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі",Алматы  қ.,2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Ресепшн қызметкері,Тұру және тамақтану,150 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Атырау облысы, Атырау қ.",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Ғылыми қызметкер (ауыл шаруашылығы саласындағы),Ауыл шаруашылығы,от 250 000 до 350 000 тг.,"""Қазақ қайта өңдеу және тағам өнеркәсіптері ғылыми-зерттеу институты"" жауапкершілігі шектеулі серіктестінінің Семей филиалы","Абай облысы, Семей қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Өндіріс инженері,Өндіріс,250 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Бөрлі ауданы, Ақсай қ.",2 жыл жұмыс өтілі,вахталық әдіс,жоғары,21.10.2024 жарияланды
Жоба менеджері,Ғылым және кеңес беру,250 000 тг. бастап,"""TURKISTAN INVEST"" инвестиция тарту және экспортты дамыту аймақтық агенттігі"" жауапкершілігі шектеулі серіктестігі","Түркістан облысы, Түркістан қ.",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Офис-менеджер,HR және хатшылық,от 200 000 до 250 000 тг.,"""Med Concept Service"" (Мед Концепт Сервис) жауапкершілігі шектеулі серіктестігі","Алматы  қ., Медеу ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Жоба менеджері,Өндіріс,250 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Бөрлі ауданы, Ақсай қ.",5 жыл жұмыс өтілі,вахталық әдіс,жоғары,21.10.2024 жарияланды
Телефондарды сату жөніндегі маман,Сауда және қоймалау,180 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі",Алматы  қ.,3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
